name,rating,total_reviews,price,buyers
"Disposable Dishes Plates Natural Biodegradable Plates, dinnerware,Party|100% Biodegradable_Eco Friendly_12 Inch Paper Dinner Plates_Pack of 50_Natural Paper Plates",N/A,N/A,34,N/A
"Disposable Dishes Plates Natural Biodegradable Plates, dinnerware,Party|100% Biodegradable_Eco Friendly_12 Inch Paper Dinner Plates_Pack of 50_Natural Paper Plates",N/A,N/A,22,N/A
"Shinwa EC-501 Eco Cook Round Plate, 7.1 inches (18 cm), Set of 8, White",N/A,N/A,0,N/A
"Bare Eco-Forward Clay-Coated Paper Dinnerware, Bowl, 12oz, 125/bag, 8/ct",N/A,N/A,43,N/A
"amscan Round Birthday Eco Paper Plates with Polka Dots and Cupcake Design-8pcs, Multicolor, 40g",4.3,3,23,N/A
"Disposable Dishes Plates Natural Biodegradable Plates, dinnerware,Party|100% Biodegradable_Eco Friendly_12 Inch Paper Dinner Plates_Pack of 50_Natural Paper Plates",N/A,N/A,23,N/A
"Disposable Dishes Plates Natural Biodegradable Plates, dinnerware,Party|100% Biodegradable_Eco Friendly_12 Inch Paper Dinner Plates_Pack of 50_Natural Paper Plates",N/A,N/A,23,N/A
"Disposable Dishes Plates Natural Biodegradable Plates, dinnerware,Party|100% Biodegradable_Eco Friendly_12 Inch Paper Dinner Plates_Pack of 50_Natural Paper Plates",N/A,N/A,23,N/A
"Disposable Dishes Plates Natural Biodegradable Plates, dinnerware,Party|100% Biodegradable_Eco Friendly_12 Inch Paper Dinner Plates_Pack of 50_Natural Paper Plates",N/A,N/A,32,N/A
"Paw Paper Plates (23 cm) I Pack of 10 I Disposable Plates Colourful Made of Cardboard I Ideal for Weddings, Communions, Parties, Birthdays I Printed with Water-based Colours I Colour: BBQ Party",3.3,5,26,N/A
PacknWood Eco-Design White Sugarcane Plate | Heavy Duty Paper Plates | Eco Friendly Compostable Sugarcane Plates | 100% Biodegradable Sturdy- 500 pcs,N/A,N/A,154,N/A
PacknWood Eco-Design White Sugarcane Plate | Heavy Duty Paper Plates | Eco Friendly Sugarcane Plates | 100% Biodegradable Sturdy- 15oz - 500 pcs,N/A,N/A,166,N/A
"100% Compostable Paper Plates, Heavy Duty Disposable Plates [Pack of - 150] 7"" Round Plate-Eco-Friendly, Biodegradable Sugarcane Bagasse, Natural Unbleached white 7"" Dinner Paper Plate Disposable",N/A,N/A,18,N/A
"Disposable Dishes Plates Natural Biodegradable Plates, dinnerware,Party|100% Biodegradable_Eco Friendly_12 Inch Paper Dinner Plates_Pack of 50_Natural Paper Plates",N/A,N/A,23,N/A
"Disposable Dishes Plates Natural Biodegradable Plates, dinnerware,Party|100% Biodegradable_Eco Friendly_12 Inch Paper Dinner Plates_Pack of 50_Natural Paper Plates",N/A,N/A,23,N/A
"Disposable Dishes Plates Natural Biodegradable Plates, dinnerware,Party|100% Biodegradable_Eco Friendly_ 8 Inch Paper Tiffin Plates_Pack of_Natural Paper Tiffin Plates (300)",N/A,N/A,23,N/A
"Disposable Dishes Plates Natural Biodegradable Plates, dinnerware,Party|100% Biodegradable_Eco Friendly_12 Inch Paper Dinner Plates_Pack of 50_Natural Paper Plates",N/A,N/A,23,N/A
"SIMOND STORE - Paper Plates 12 Inch - [Pack of 125] Disposable 100% Compostable Plates - Heavy Duty -Sugarcane Bagasse Fiber Biodegradable Large Dinner Plates for Party, BBQ, Wedding",N/A,N/A,46,N/A
"SIMOND STORE - Small Paper Plates 6 Inch - [Pack of 500] Dessert Compostable Plates - Heavy Duty Disposable Plates - Sugarcane Bagasse Fiber Biodegradable Plates for Party, BBQ, Wedding",N/A,N/A,41,N/A
"Eco-Products EPP013 Renewable & Compostable Sugarcane Plates, 9-Inch, 500/Carton",N/A,N/A,24,N/A
Eco Stix Palm Plates. Pack of 25 CT. 10 Inches Square,N/A,N/A,16,N/A
"Dart OFHW12J7234 Bare Paper Eco-Forward Dinnerware, 12oz Bowl, Green/Tan (Case of 500)",N/A,N/A,23,N/A
AKOAK 4 Styles 20 Count Pink Series Disposable Tableware Party Paper Plates Cups Baby Shower Favor Paper Party Dinnerware,N/A,N/A,9,N/A
Zebra Square Dinner Plate - ECO,N/A,N/A,136,N/A
PacknWood 210ECOD2614 - Heavy-Duty Biodegradable Sugarcane Plates - Eco-Design White Sugarcane Plate - Disposable Rectangular Plates - Microwavable - Oven Safe - 10.25 x 5.12 x 1.1in - 500 pcs,N/A,N/A,125,N/A
"Square Party 9"" | Multicolor | Bella Vite Collection | Pack of 12 Paper, 9 inch Plate",3.0,1,10,N/A
"100 Pack Paper Plates - Uncoated White Plate - Use for Foodware, Events, Activities, Crafts Projects and More - Environmentally Friendly - Recyclable and Disposable",N/A,N/A,11,N/A
"10"" Evo Eco Square Palm Leaf Plates Dinner Plates Lunch Plates | Eco friendly Disposable Dinnerware | Heavy Duty Biodegradable Party Plates for Wedding, Camping Parties & More 100 pack By Evo Eco",5.0,1,58,N/A
"Yamato Bussan Paper Plate, Eco Paper, Mini Donburi, 6.8 fl oz (200 ml), 30 Sheets",N/A,N/A,23,N/A
"Eco-Products EP-P016PK Renewable and Compostable Sugarcane Plate Convenience Pack, 6"" Diameter, Round, Natural White, Bagasse (Pack of 1000)",N/A,N/A,66,N/A
"10"" Evo-Eco 10 Inch Square Palm Leaf Plates Dinner Plates Lunch Plates Eco friendly Disposable Dinnerware | Heavy Duty Biodegradable Party Plates for Wedding, Camping Parties & More 100pack By Evo Eco",5.0,1,39,N/A
"ECO PRODUCTS Disposable Rectangular Sugarcane Plate, Eco-Friendly, Compostable, Grease and Cut Resistant, Microwave Safe, 10"" x 5"", Case of 500",N/A,N/A,130,N/A
"Asean ECO SOURCE 10"" DI COMPOSTABLE TABLEWARE ROUND PLATE, (500/cs)",N/A,N/A,81,N/A
"Evo Eco 10"" Palm Leaf Plates Dinner Plates Lunch & Breakfast plates | Eco friendly Disposable Dinnerware | Heavy Duty Biodegradable Party Plates for Wedding, Camping Parties & More 50 pack By Evo Eco",5.0,1,39,N/A
"10"" [200] Disposable Palm Leaf Plates Round |Compostable Biodegradable Eco Party Plates Heavy Duty Eco Friendly Bamboo Looking Camping,Wedding, Event Plates",5.0,1,119,N/A
"Atyhao Dinner Plate, Carrot Shape Cartoon Pictures Paper Plate Degradable for Parties",N/A,N/A,8,N/A
"Greenovation Palm Leaf Plates – 25pcs | Eco-Friendly Plates Made of Fallen Areca Palm Leaves – Compostable and Biodegradable Plates – Sturdy Serving Plates for Parties, Dinner – 8"" Elegant Square (25)",N/A,N/A,22,N/A
"120 pc 7"" Everyday Sturdy Sugarcane Bagasse Plate 100% compostable in 90 days",5.0,1,23,N/A
"Bagasse 10"" Round Plate, Compostable White, 500/case",N/A,N/A,23,N/A
"EconoHome Compostable Paper Plates 9 inch [125-Pack] & Clamshell Take Out Food Containers [6x6 50-Pack] - Made of Bagasse, Sugarcane Fiber - Microwave, Refrigerator-Safe",N/A,N/A,,N/A
"Hygloss Products Paper Plates - Uncoated White Plate - Use for Foodware, Events, Activities, Crafts Projects and More - Environmentally Friendly - Recyclable and Disposable - 6-Inches - 100 Pack",4.1,3282,4,7000
"Glad 10 Inch Round Paper Plates 50 Count - Heavy Duty Round Disposable Plates for Parties - Sturdy, Soak Proof, Microwave Safe Plates - Large, Thick Plates for Dinner - Bulk Microwavable Paper Plates",4.6,24715,8,4000
"100% Compostable 10 Inch Heavy-Duty [125-Pack] Eco-Friendly Disposable White Bagasse Plate, Made of Natural Sugarcane Fibers - 10"" Biodegradable Paper Plates by Stack Man",4.7,2320,26,2000
"Hefty ECOSAVE Compostable Thanksgiving 5-Compartment Paper Trays, 12 Count",4.6,459,7,600+
"Glad Disposable Plates, Pink Hydrangea - Strong, Sturdy, Soak Proof, and Microwavable Decorative Paper Plates - Round Heavy Duty Paper Plates for Dinner and Everyday Use, 8.5 Inch, 50 Count",4.7,8710,9,1000
"GUSTO [9 Inch - 300 Count] Uncoated White Paper Plates - Disposable Party Plates, Decorative Paper Plates for Crafts",4.4,5500,22,1000
"ECOLipak 100% Compostable 5 Compartment Plates, 125 Pack Disposable Paper Plates, Heavy-Duty Biodegradable Sugarcane Plates, Eco-Friendly School Lunch Trays",4.5,1776,28,1000
"Glad Round Disposable Paper Plates for All Occasions | New & Improved Quality | Soak/ Cut Proof, Microwaveable Heavy Duty | 10"" Diameter, 50 Count Bulk Plates",4.7,3717,8,1000
"Paper Bowls, 100% Compostable Disposable Soup Bowl [125-Pack] - (PFAS-Free) - (BPI Certified) - [12 oz] Heavy Duty, Eco-Friendly, Biodegradable Bagasse Hot Food Plates and Bowls - Natural Brown",4.7,9285,18,7000
100% Compostable Paper Plates [9 in.] COMPARTMENTS – 150 Disposable Plates Eco Friendly Sturdy Tree Free Liquid and Heat Resistant Alternative to Plastic or Paper Plates,4.4,123,38,50+
Chic Leaf Palm Leaf Plates Disposable Bamboo Plates Like 9 Inch Square Party 50 Pack - Heavy Duty Compostable Plates - Better than Plastic and Paper Plates,4.6,1296,34,50+
"ECO SOUL 100% Clear Compostable Party Cups | (50 Count, 12 oz) | Disposable | Biodegradable | Plant Based Eco-friendly Alternative to Paper & Plastic Cups | BPI Certified | For Weddings & Gatherings",4.3,80,13,300+
